timestamp_et,account,assets,market,equity,open_positions,new_trades,exits,summary
2026-09-12 20:45,B,option+crypto,closed,99421.81,4,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 01:49,B,option+crypto,closed,99571.38,4,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 07:28,B,option+crypto,closed,98725.91,4,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 11:02,B,option+crypto,closed,99285.79,4,0,0,3 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 14:06,B,option+crypto,closed,99414.33,4,0,0,3 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 16:56,B,option+crypto,closed,99568.27,4,0,0,3 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 19:02,B,option+crypto,closed,98844.87,4,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-13 20:58,B,option+crypto,closed,99009.11,4,0,0,3 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-14 01:57,B,option+crypto,closed,99354.64,4,0,0,3 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-14 08:20,B,option+crypto,closed,99352.64,4,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-14 14:06,B,option+crypto,open,99903.66,6,2,0,BOUGHT 1x MSFT call; 1x NVDA call
2026-09-14 17:54,B,option+crypto,closed,99643.23,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-14 20:24,B,option+crypto,closed,99142.91,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-15 01:21,B,option+crypto,closed,98676.98,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-15 06:12,B,option+crypto,closed,98449.81,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-15 11:05,B,option+crypto,open,97177.94,6,0,0,10 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-15 15:05,B,option+crypto,open,96903.66,6,0,0,10 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-15 18:19,B,option+crypto,closed,96226.9,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-15 20:31,B,option+crypto,closed,96722.0,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 01:15,B,option+crypto,closed,96559.0,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 06:03,B,option+crypto,closed,96607.32,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 10:52,B,option+crypto,open,96275.6,6,1,1,BOUGHT 1x MSFT call; closed 1 position(s)
2026-09-16 14:46,B,option+crypto,open,96821.19,6,0,0,10 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 16:16,B,option+crypto,closed,96646.47,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 17:17,B,option+crypto,closed,96725.08,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 17:58,B,option+crypto,closed,96626.45,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 18:17,B,option+crypto,closed,96505.37,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 19:18,B,option+crypto,closed,96307.37,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 20:15,B,option+crypto,closed,96856.31,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 20:19,B,option+crypto,closed,96889.17,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 21:20,B,option+crypto,closed,96952.64,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 22:20,B,option+crypto,closed,96927.27,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-16 23:21,B,option+crypto,closed,97107.74,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 00:22,B,option+crypto,closed,97154.82,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 01:00,B,option+crypto,closed,97192.3,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 01:23,B,option+crypto,closed,97204.88,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 02:24,B,option+crypto,closed,97182.08,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 03:24,B,option+crypto,closed,97494.76,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
2026-09-17 04:25,B,option+crypto,closed,97457.5,6,0,0,4 signal(s) ranked but none opened (cap full / risk gate / no contract)
